vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,authorized_from,authorized_to,source_code
CCSBT-FV04885|IDN-58993|IMO-8527054|IOTC-2396,525800750,BANDARNELAYAN17,YE4830,8527054,IDN,2012-01-01 00:00:00 UTC,2015-11-24 00:00:00 UTC,CCSBT
CCSBT-FV04885|IDN-58993|IMO-8527054|IOTC-2396,525800750,BANDARNELAYAN17,YE4830,8527054,IDN,2017-05-31 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04885|IDN-58993|IMO-8527054|IOTC-2396,525800750,BANDARNELAYAN17,YE4830,8527054,IDN,2012-01-01 00:00:00 UTC,2015-11-25 00:00:00 UTC,IOTC
CCSBT-FV04885|IDN-58993|IMO-8527054|IOTC-2396,525800750,BANDARNELAYAN17,YE4830,8527054,IDN,2017-05-31 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04886|IDN-19292|IMO-8787575|IOTC-2399,525600098,BANDARNELAYAN26,YEA5312,8787575,IDN,2015-09-04 00:00:00 UTC,2018-09-03 00:00:00 UTC,CCSBT
CCSBT-FV04886|IDN-19292|IMO-8787575|IOTC-2399,525600098,BANDARNELAYAN26,YEA5312,8787575,IDN,2018-12-20 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV04886|IDN-19292|IMO-8787575|IOTC-2399,525600098,BANDARNELAYAN26,YEA5312,8787575,IDN,2012-01-01 00:00:00 UTC,2018-09-03 00:00:00 UTC,IOTC
CCSBT-FV04886|IDN-19292|IMO-8787575|IOTC-2399,525600098,BANDARNELAYAN26,YEA5312,8787575,IDN,2018-12-20 00:00:00 UTC,2019-12-19 00:00:00 UTC,IOTC
CCSBT-FV04886|IDN-19292|IMO-8787575|IOTC-2399,525600098,BANDARNELAYAN26,YEA5312,8787575,IDN,2020-11-12 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV04888|IDN-19461|IMO-8527822|IOTC-3763,525800746,BANDARNELAYAN31,YE5653,8527822,IDN,2012-01-01 00:00:00 UTC,2018-12-22 00:00:00 UTC,CCSBT
